file,structure,concept,noStrings,category,structureNo,NoPause,NoStringsNoPause
p23_t34_v_w103_maybe,spspspsps,maybe,9,abstract/logical,s|s|s|s|s,sssss,5
p46_t53_v_w103_maybe,spspspspspspspsps,maybe,17,abstract/logical,s|s|s|s|s|s|s|s|s,sssssssss,9
p66_t13_v_w103_maybe,spsspsspss,maybe,10,abstract/logical,s|ss|ss|ss,sssssss,7
p72_t8_v_w103_maybe,ss,maybe,2,abstract/logical,ss,ss,2
p53_t40_v_w0_not,s,not,1,abstract/logical,s,s,1
p49_t17_v_w0_not,sps,not,3,abstract/logical,s|s,ss,2
p31_t48_v_w0_not,spss,not,4,abstract/logical,s|ss,sss,3
p68_t31_v_w0_not,ss,not,2,abstract/logical,ss,ss,2
p79_t24_v_w0_not,sspspsps,not,8,abstract/logical,ss|s|s|s,sssss,5
p27_t21_v_w0_not,sspsspspspss,not,12,abstract/logical,ss|ss|s|s|ss,ssssssss,8
p16_t43_v_w0_not,sspsspss,not,8,abstract/logical,ss|ss|ss,ssssss,6
p2_t3_v_w98_old,spsps,old,5,time,s|s|s,sss,3
p32_t0_v_w98_old,spsps,old,5,time,s|s|s,sss,3
p15_t0_v_w98_old,spspspspspsps,old,13,time,s|s|s|s|s|s|s,sssssss,7
p52_t35_v_w98_old,sspsspspssspspssspspsssps,old,25,time,ss|ss|s|sss|s|sss|s|sss|s,sssssssssssssssss,17
p4_t46_v_w125_sad,s,sad,1,emotion/valence,s,s,1
p77_t8_v_w125_sad,sps,sad,3,emotion/valence,s|s,ss,2
p27_t22_v_w125_sad,sspssspspsss,sad,12,emotion/valence,ss|sss|s|sss,sssssssss,9
p17_t26_v_w125_sad,ssspsspsspsssps,sad,15,emotion/valence,sss|ss|ss|sss|s,sssssssssss,11
p48_t32_v_w125_sad,ssspssspsspssspsspsspss,sad,23,emotion/valence,sss|sss|ss|sss|ss|ss|ss,sssssssssssssssss,17
p29_t59_v_w125_sad,sssss,sad,5,emotion/valence,sssss,sssss,5
p66_t11_v_w125_sad,ssssspspsps,sad,11,emotion/valence,sssss|s|s|s,ssssssss,8
p34_t16_v_w126_scared,s,scared,1,emotion/valence,s,s,1
p76_t36_v_w126_scared,s,scared,1,emotion/valence,s,s,1
p47_t7_v_w126_scared,sps,scared,3,emotion/valence,s|s,ss,2
p70_t42_v_w126_scared,ssps,scared,4,emotion/valence,ss|s,sss,3
p56_t44_v_w126_scared,sspsps,scared,6,emotion/valence,ss|s|s,ssss,4
p37_t34_v_w94_smoke,spsps,smoke,5,thing/object,s|s|s,sss,3
p15_t4_v_w94_smoke,spspspspsps,smoke,11,thing/object,s|s|s|s|s|s,ssssss,6
p40_t32_v_w94_smoke,spspsssspssspsspssspsspssspsspspspsspsss,smoke,40,thing/object,s|s|ssss|sss|ss|sss|ss|sss|ss|s|s|ss|sss,ssssssssssssssssssssssssssss,28
p58_t2_v_w94_smoke,sss,smoke,3,thing/object,sss,sss,3
p79_t34_v_w198_spoon,spspspspspspspss,spoon,16,thing/object,s|s|s|s|s|s|s|ss,sssssssss,9
p46_t46_v_w198_spoon,spsssssssssssssssspspssssssssssssssss,spoon,37,thing/object,s|ssssssssssssssss|s|ssssssssssssssss,ssssssssssssssssssssssssssssssssss,34
p56_t40_v_w198_spoon,sspsspssss,spoon,10,thing/object,ss|ss|ssss,ssssssss,8
p19_t32_v_w198_spoon,sssspsssspsps,spoon,13,thing/object,ssss|ssss|s|s,ssssssssss,10
p22_t50_v_w198_spoon,ssssssssss,spoon,10,thing/object,ssssssssss,ssssssssss,10
p14_t41_v_w95_stone-rock,s,stone-rock,1,thing/object,s,s,1
p54_t31_v_w95_stone-rock,s,stone-rock,1,thing/object,s,s,1
p0_t59_v_w95_stone-rock,spspspsps,stone-rock,9,thing/object,s|s|s|s|s,sssss,5
p76_t35_v_w95_stone-rock,spspspspspsps,stone-rock,13,thing/object,s|s|s|s|s|s|s,sssssss,7
p37_t27_v_w95_stone-rock,spspspspss,stone-rock,10,thing/object,s|s|s|s|ss,ssssss,6
p62_t45_v_w95_stone-rock,spspspspsss,stone-rock,11,thing/object,s|s|s|s|sss,sssssss,7
